Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sum of DATA YTD Enrolments,,,,,,,,,,,,,,,,,,,,Sum of DATA YTD Commencements,,,,,,,,,,,,,,,,,,,
Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Higher Education,NSW,Other,984,979,822,780,853,824,779,637,567,436,400,287,158,119,120,133,129,80,112,36,408,235,246,288,181,260,203,133,183,124,100,59,26,59,24,25,45,20,28,0
,,Afghanistan,4,29,24,24,62,105,120,194,109,39,60,112,64,48,30,24,35,59,63,18,4,17,0,24,26,33,48,86,13,27,48,16,28,0,6,0,11,23,27,0
,,Albania,19,29,36,33,23,34,24,24,18,12,12,32,37,52,59,52,65,48,71,38,7,17,0,21,11,10,0,0,6,0,0,20,25,16,11,4,29,0,47,8
,,Algeria,24,29,12,12,0,11,0,0,11,12,12,12,16,24,29,33,34,58,48,12,0,17,0,0,0,11,0,0,11,0,0,0,4,0,5,9,10,22,0,6
,,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,,Angola,12,12,0,0,0,6,12,14,30,44,46,12,11,12,12,0,0,0,0,0,0,0,0,0,0,6,0,14,6,8,22,0,11,0,0,0,0,0,0,0
,,Antigua and Barbuda,0,0,0,0,0,0,0,18,12,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,5,0,0,0,0,0,0
,,Argentina,309,392,327,311,252,344,275,305,264,319,356,378,408,444,647,740,730,762,801,402,141,104,123,83,84,116,71,137,72,91,92,150,168,168,239,248,166,234,297,90
,,Armenia,0,6,12,28,39,67,72,69,36,21,33,44,26,12,12,17,34,66,78,6,0,6,0,16,15,19,12,21,0,9,21,8,2,0,0,17,10,18,6,0
,,Austria,396,557,598,481,428,480,474,563,583,584,481,402,396,333,315,408,340,365,357,108,168,233,202,169,164,180,258,239,211,200,157,138,60,105,123,132,88,149,69,12
,,Azerbaijan,20,22,12,12,0,11,30,41,32,69,66,100,286,378,326,225,191,163,106,29,20,10,0,0,0,11,18,17,20,33,42,52,190,114,86,57,23,19,22,5
,,Bahamas,0,10,12,10,12,12,0,22,16,24,0,0,10,0,17,42,34,18,12,6,0,10,0,10,0,0,0,22,16,0,0,0,10,0,17,18,10,6,0,0
,,Bahrain,30,31,63,161,248,214,197,179,226,238,152,107,134,106,123,139,113,135,134,34,6,7,15,101,104,22,53,47,106,70,44,23,26,46,39,43,29,39,14,4
,,Bangladesh,13098,16961,21713,25621,24585,20596,15310,13510,15489,18819,21156,20974,22010,25293,27608,31638,36265,38488,36697,13744,4926,6737,7793,7177,5289,4816,3130,4330,5205,6351,6144,6166,6086,7377,8396,9726,10417,9664,7477,1582
,,Barbados,12,24,22,15,24,23,50,42,48,0,0,11,19,28,24,35,45,71,48,6,0,12,10,3,0,11,38,6,0,0,0,11,7,16,0,11,21,11,0,0
,,Belarus,22,34,23,18,51,34,12,18,24,50,87,109,109,102,107,98,87,70,47,35,10,10,11,6,27,22,0,6,0,50,39,13,49,30,11,26,15,10,23,11
,,Belgium,1164,1339,1501,2021,2453,2837,3052,3081,2482,2129,1824,1369,999,804,579,470,474,477,442,172,324,475,469,725,761,785,820,789,574,473,468,349,183,216,87,134,114,129,130,22
,,Belize,24,24,0,11,24,36,18,24,30,17,23,0,0,6,21,24,5,12,12,0,0,0,0,11,12,0,6,0,6,5,11,0,0,6,21,12,5,0,0,0
,,Benin,0,0,0,0,0,11,12,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
,,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0
,,Bhutan,211,335,298,476,463,510,422,566,865,794,819,702,636,603,674,795,966,1011,1057,399,91,143,178,212,175,222,170,302,313,254,123,66,132,123,194,195,270,315,205,51
,,Bolivia,48,24,18,41,30,46,36,24,23,51,68,65,50,58,49,47,59,53,103,54,12,0,6,17,6,34,0,0,11,27,8,5,26,10,13,11,11,29,43,0
,,Bosnia and Herzegovina,20,10,12,0,0,0,6,22,12,18,12,0,13,36,86,94,54,64,48,17,20,10,0,0,0,0,6,10,0,6,0,0,13,12,38,22,30,28,0,5
,,Botswana,1491,1317,2035,2251,1711,1350,985,849,635,480,356,280,197,132,79,148,155,183,210,135,579,393,991,379,199,270,193,153,59,156,80,64,17,0,55,76,47,63,30,39
,,Brazil,1543,1837,1969,1931,2106,2327,2508,2782,3041,3379,3417,3573,3789,4276,5320,7944,9279,9718,9512,4082,679,841,637,659,714,803,1020,922,1145,1183,1137,1137,1221,1444,2044,2844,2619,2362,2300,632
,,British Indian Ocean Territory,0,17,12,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Brunei Darussalam,120,142,233,410,569,699,748,749,885,914,946,1010,969,1183,1491,1533,1277,574,747,324,36,94,89,182,233,231,172,137,237,182,250,110,261,319,423,153,221,130,183,114
,,Bulgaria,179,161,118,68,75,57,54,38,47,36,39,42,60,139,164,135,178,117,107,30,23,53,34,8,27,21,6,26,23,12,27,6,36,55,68,27,34,21,11,6
,,Burundi,0,0,0,0,0,6,12,12,0,0,0,0,0,6,12,0,0,0,22,12,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,22,0
,,Cambodia,383,481,456,539,592,654,970,1334,1444,1456,1333,1464,1975,2184,2720,3514,4222,5210,5694,2678,131,121,120,191,232,246,538,446,448,412,361,576,835,708,1172,1402,1294,1814,1806,494
,,Cameroon,34,34,24,41,36,41,58,58,36,24,0,23,42,42,38,65,71,74,87,35,22,10,0,17,0,17,22,10,0,0,0,23,6,6,14,17,11,14,27,5
,,Canada,5941,7568,8511,10174,10036,9664,10073,10419,10036,9614,8503,8177,7927,7469,8311,9013,10215,11615,11936,4704,3565,4412,4539,4870,5560,4756,4997,4491,3256,3146,2851,2465,2323,2177,2671,2605,3111,3059,2588,408
,,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
,,Chile,151,226,412,599,726,775,789,1353,1863,1927,1521,1505,1404,1304,1325,1509,1714,1754,2072,835,55,94,184,215,342,307,321,909,759,679,549,473,492,380,413,609,502,566,584,109
,,China,88923,123775,162448,220861,253424,267093,283823,331918,382949,393811,367423,347153,355532,377203,444370,531389,619007,669740,680530,310933,45711,50311,67228,83857,81524,86781,106355,124858,140849,130495,115471,120497,124196,134011,164050,184697,199571,206192,175270,58693
,,Colombia,2779,3390,3196,2774,2668,2541,2807,2725,2972,2887,2964,3187,3439,3603,3781,4578,4875,4582,4893,2029,1303,1326,1048,794,856,1113,1151,1177,1364,1195,1080,1207,1195,1227,1381,1626,1167,1342,1197,307
,,Comoros,24,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Congo, Democratic Republic of",0,0,0,0,0,0,0,11,0,0,0,0,0,5,39,68,47,47,35,12,0,0,0,0,0,0,0,11,0,0,0,0,0,5,39,20,11,11,11,0
,,"Congo, Republic of",0,0,0,0,0,0,2,12,12,23,12,12,12,12,0,0,0,11,12,6,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,11,0,0
,,Costa Rica,18,31,36,36,24,8,12,33,61,60,59,73,87,85,96,91,87,60,46,24,6,7,12,0,0,8,0,21,25,0,23,13,15,37,12,43,15,0,34,0
,,Cote d'Ivoire,12,17,12,0,0,11,0,0,0,0,0,0,0,0,11,23,23,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,11,11,11,0,0,0
,,Croatia,47,22,59,55,94,66,24,28,58,87,72,64,75,124,167,115,126,137,96,36,11,10,23,31,22,18,12,16,34,39,12,16,51,52,71,31,42,41,12,18
